lang,topic,topic_hash,section_name,section_hash,section_mapped,section_name_translated,topic_name_translated,topic_mapped
bn,India,CAAqIQgKIhtDQkFTRGdvSUwyMHZNRE55YXpBU0FtSnVLQUFQAQ,,,,,India,NATION
bn,The world,CAAqJggKIiBDQkFTRWdvSUwyMHZNRGx1YlY4U0FtSnVHZ0pKVGlnQVAB,,,,,The world,WORLD
bn,Local news,CAAqHAgKIhZDQklTQ2pvSWJHOWpZV3hmZGpJb0FBUAE,,,,,Local news,NATION
bn,Business,CAAqJggKIiBDQkFTRWdvSUwyMHZNRGx6TVdZU0FtSnVHZ0pKVGlnQVAB,,,,,Business,BUSINESS
bn,Entertainment,CAAqJggKIiBDQkFTRWdvSUwyMHZNREpxYW5RU0FtSnVHZ0pKVGlnQVAB,অতিসাম্প্রতিক,CAQqKggAKiYICiIgQ0JBU0Vnb0lMMjB2TURKcWFuUVNBbUp1R2dKSlRpZ0FQAQ,MOST RECENT,most recent,Entertainment,ENTERTAINMENT
bn,Entertainment,CAAqJggKIiBDQkFTRWdvSUwyMHZNREpxYW5RU0FtSnVHZ0pKVGlnQVAB,সিনেমা,CAQiWkNCQVNQUW9JTDIwdk1ESnFhblFTQW1KdUdnSkpUaUlPQ0FRYUNnb0lMMjB2TURKMmVHNHFHUW9YQ2hOTlQxWkpSVk5mVTBWRFZFbFBUbDlPUVUxRklBRW9BQSoqCAAqJggKIiBDQkFTRWdvSUwyMHZNREpxYW5RU0FtSnVHZ0pKVGlnQVABUAE,MOVIES,movies,Entertainment,ENTERTAINMENT
bn,Entertainment,CAAqJggKIiBDQkFTRWdvSUwyMHZNREpxYW5RU0FtSnVHZ0pKVGlnQVAB,মিউজিক,CAQiRkNCQVNMZ29JTDIwdk1ESnFhblFTQW1KdUdnSkpUaUlPQ0FRYUNnb0lMMjB2TURSeWJHWXFDaElJTDIwdk1EUnliR1lvQUEqKggAKiYICiIgQ0JBU0Vnb0lMMjB2TURKcWFuUVNBbUp1R2dKSlRpZ0FQAVAB,MUSIC,music,Entertainment,ENTERTAINMENT
bn,Entertainment,CAAqJggKIiBDQkFTRWdvSUwyMHZNREpxYW5RU0FtSnVHZ0pKVGlnQVAB,TV,CAQiRkNCQVNMZ29JTDIwdk1ESnFhblFTQW1KdUdnSkpUaUlPQ0FRYUNnb0lMMjB2TURkak5USXFDaElJTDIwdk1EZGpOVElvQUEqKggAKiYICiIgQ0JBU0Vnb0lMMjB2TURKcWFuUVNBbUp1R2dKSlRpZ0FQAVAB,TV,tv,Entertainment,ENTERTAINMENT
bn,Entertainment,CAAqJggKIiBDQkFTRWdvSUwyMHZNREpxYW5RU0FtSnVHZ0pKVGlnQVAB,বই,CAQiWkNCQVNQUW9JTDIwdk1ESnFhblFTQW1KdUdnSkpUaUlQQ0FRYUN3b0pMMjB2TUdKMFgyTXpLaGdLRmdvU1FrOVBTMU5mVTBWRFZFbFBUbDlPUVUxRklBRW9BQSoqCAAqJggKIiBDQkFTRWdvSUwyMHZNREpxYW5RU0FtSnVHZ0pKVGlnQVABUAE,BOOKS,books,Entertainment,ENTERTAINMENT
bn,Entertainment,CAAqJggKIiBDQkFTRWdvSUwyMHZNREpxYW5RU0FtSnVHZ0pKVGlnQVAB,শিল্পকলা,CAQiQ0NCQVNMQW9JTDIwdk1ESnFhblFTQW1KdUdnSkpUaUlOQ0FRYUNRb0hMMjB2TUdwcWR5b0pFZ2N2YlM4d2FtcDNLQUEqKggAKiYICiIgQ0JBU0Vnb0lMMjB2TURKcWFuUVNBbUp1R2dKSlRpZ0FQAVAB,ART,art,Entertainment,ENTERTAINMENT
